time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348071099310,0.00857851,0.0158931,1.45047,0,0,0,0,0,0,0,0,0,
1468348071109347,0.00860029,0.0158943,1.45131,0,0,0,0,0,0,0,0,0,
1468348071119384,0.00861274,0.015901,1.45221,0,0,0,0,0,0,0,0,0,
1468348071129422,0.00861957,0.0159092,1.45303,0,0,0,0,0,0,0,0,0,
1468348071139459,0.00864303,0.0159061,1.45383,0,0,0,0,0,0,0,0,0,
1468348071149497,0.00865644,0.0159204,1.45465,0,0,0,0,0,0,0,0,0,
1468348071159535,0.00865971,0.0159279,1.45549,0,0,0,0,0,0,0,0,0,
1468348071169572,0.00866986,0.0159293,1.4563,0,0,0,0,0,0,0,0,0,
1468348071179608,0.00868368,0.0159323,1.45708,0,0,0,0,0,0,0,0,0,
1468348071189644,0.00869563,0.0159314,1.45788,0,0,0,0,0,0,0,0,0,
1468348071199687,0.00868686,0.015945,1.45867,0,0,0,0,0,0,0,0,0,
1468348071209720,0.00870701,0.0159377,1.45942,0,0,0,0,0,0,0,0,0,
1468348071219766,0.00865734,0.0159828,1.46017,0,0,0,0,0,0,0,0,0,
1468348071229804,0.00871305,0.0159509,1.46082,0,0,0,0,0,0,0,0,0,
1468348071239842,0.00868708,0.0159756,1.46153,0,0,0,0,0,0,0,0,0,
1468348071249893,0.0087025,0.0159942,1.4624,0,0,0,0,0,0,0,0,0,
1468348071259942,0.00907235,0.015765,1.46289,0,0,0,0,0,0,0,0,0,
1468348071269981,0.00993635,0.0152209,1.46372,0,-0.0289286,0,0,-0.000144643,0,0,-7.23214e-07,0,
1468348071280015,0.0112572,0.0143655,1.46511,0.0657162,-0.0729974,0,0.000328581,-0.000654273,0,1.6429e-06,-4.71779e-06,0,
1468348071290054,0.0143443,0.0121475,1.46774,0.0657162,-0.0729974,0,0.000985743,-0.00138425,0,8.21452e-06,-1.49104e-05,0,
1468348071300091,0.0160472,0.0109093,1.46906,0.0657162,-0.0301862,0,0.0016429,-0.00190016,0,2.13578e-05,-3.13324e-05,0,
1468348071310131,0.0171278,0.0101288,1.47019,-0.0234161,0.0281475,0,0.0018544,-0.00191036,0,3.88443e-05,-5.03851e-05,0,
1468348071320167,0.0163152,0.010625,1.47067,-0.0234161,0.0281475,0,0.00162024,-0.00162888,0,5.62175e-05,-6.80813e-05,0,
1468348071330211,0.0137386,0.0122618,1.4714,-0.0234161,-0.00200237,0,0.00138608,-0.00149816,0,7.12492e-05,-8.37165e-05,0,
1468348071340256,0.0131024,0.0126462,1.4719,-0.0234161,-0.00200237,0,0.00115192,-0.00151818,0,8.39392e-05,-9.87982e-05,0,
1468348071350294,0.0123854,0.0130606,1.47233,-0.0234161,-0.00200237,0,0.000917762,-0.00153821,0,9.42876e-05,-0.00011408,0,
1468348071360330,0.0112594,0.0137663,1.47262,-0.0234161,-0.00200237,0,0.000683601,-0.00155823,0,0.000102294,-0.000129562,0,
1468348071370364,0.0105692,0.0141991,1.47284,0.00246547,-0.00200237,0,0.000578848,-0.00157825,0,0.000108607,-0.000145245,0,
1468348071380400,0.011048,0.0138795,1.47327,0.00246547,-0.00200237,0,0.000603502,-0.00159828,0,0.000114518,-0.000161127,0,
1468348071390437,0.0116417,0.0134852,1.47382,0.00246547,-0.00200237,0,0.000628157,-0.0016183,0,0.000120677,-0.00017721,0,
1468348071400471,0.0115375,0.0135463,1.47438,0.00246547,-0.00200237,0,0.000652812,-0.00163832,0,0.000127082,-0.000193493,0,
1468348071410507,0.0113015,0.0137008,1.47489,0.00246547,-0.00200237,0,0.000677466,-0.00165835,0,0.000133733,-0.000209977,0,
1468348071420541,0.0115166,0.0135467,1.47538,0.00246547,-0.00200237,0,0.000702121,-0.00167837,0,0.000140631,-0.00022666,0,
1468348071430577,0.0113837,0.0136134,1.47591,0.00246547,-0.00200237,0,0.000726776,-0.00169839,0,0.000147775,-0.000243544,0,
1468348071440611,0.0111625,0.013743,1.47642,0.00246547,-0.00200237,0,0.00075143,-0.00171842,0,0.000155166,-0.000260628,0,
1468348071450647,0.0109599,0.0138621,1.47692,0.00246547,-0.00200237,0,0.000776085,-0.00173844,0,0.000162804,-0.000277912,0,
1468348071460683,0.0107805,0.0139494,1.47735,0.00246547,-0.00200237,0,0.00080074,-0.00175847,0,0.000170688,-0.000295397,0,
1468348071470720,0.0106664,0.0140243,1.47781,0.00246547,0.0269262,0,0.000825394,-0.00163385,0,0.000178819,-0.000312359,0,
1468348071480755,0.0107809,0.0139442,1.47831,-0.0632507,0.070995,0,0.000521468,-0.00114424,0,0.000185553,-0.000326249,0,
1468348071490792,0.010773,0.0139555,1.47882,-0.0632507,0.070995,0,-0.000111039,-0.00043429,0,0.000187605,-0.000334142,0,
1468348071500826,0.0106839,0.0140063,1.47932,-0.0632507,0.0281838,0,-0.000743546,6.16042e-05,0,0.000183332,-0.000336005,0,
1468348071510863,0.0107714,0.013919,1.47982,0.0258816,-0.0301498,0,-0.000930392,5.1774e-05,0,0.000174963,-0.000335438,0,
1468348071520898,0.0107407,0.0139197,1.4803,0.0258816,-0.0301498,0,-0.000671576,-0.000249724,0,0.000166953,-0.000336428,0,
