time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348628654143,0.0131069,0.0110505,1.37848,0,0,0,0,0,0,0,0,0,
1468348628664179,0.013107,0.0110547,1.37919,0,0,0,0,0,0,0,0,0,
1468348628674217,0.0131059,0.0110594,1.37994,0,0,0,0,0,0,0,0,0,
1468348628684253,0.0130929,0.0110933,1.38063,0,0,0,0,0,0,0,0,0,
1468348628694291,0.0131092,0.0110885,1.38122,0,0,0,0,0,0,0,0,0,
1468348628704331,0.0131097,0.0111017,1.38186,0,0,0,0,0,0,0,0,0,
1468348628714372,0.0131229,0.01111,1.38249,0,0,0,0,0,0,0,0,0,
1468348628724410,0.0131317,0.0111134,1.38314,0,0,0,0,0,0,0,0,0,
1468348628734446,0.0131353,0.0111301,1.38375,0,0,0,0,0,0,0,0,0,
1468348628744483,0.0131448,0.0111232,1.38435,0,0,0,0,0,0,0,0,0,
1468348628754528,0.0131451,0.0111264,1.38496,0,0,0,0,0,0,0,0,0,
1468348628764561,0.0131374,0.0111173,1.38557,0,0,0,0,0,0,0,0,0,
1468348628774598,0.0131376,0.0111126,1.38619,0,0,0,0,0,0,0,0,0,
1468348628784635,0.0131424,0.011102,1.38672,0,0,0,0,0,0,0,0,0,
1468348628794672,0.0131438,0.0111059,1.38721,0,0,0,0,0,0,0,0,0,
1468348628804709,0.013146,0.0110884,1.38772,0,0,0,0,0,0,0,0,0,
1468348628814747,0.013139,0.0110985,1.38821,0,0,0,0,0,0,0,0,0,
1468348628824784,0.0131458,0.0111043,1.38872,0,0,0,0,0,0,0,0,0,
1468348628834821,0.0131604,0.0110858,1.38918,0,0,0,0,0,0,0,0,0,
1468348628844858,0.0131698,0.011085,1.38968,0,0,0,0,0,0,0,0,0,
1468348628854894,0.0131648,0.0110916,1.39011,0,0,0,0,0,0,0,0,0,
1468348628864931,0.0131717,0.0110883,1.39058,0,0,0,0,0,0,0,0,0,
1468348628874968,0.0131581,0.0110627,1.39104,0,0,0,0,0,0,0,0,0,
1468348628885005,0.0131401,0.0110603,1.39141,0,0,0,0,0,0,0,0,0,
1468348628895042,0.0129789,0.0111543,1.39177,0,0,0,0,0,0,0,0,0,
1468348628905079,0.0130963,0.0111014,1.39211,0,0,0,0,0,0,0,0,0,
1468348628915118,0.0131417,0.0110535,1.39246,0,0,0,0,0,0,0,0,0,
1468348628925157,0.0130219,0.0110931,1.3928,0,0,0,0,0,0,0,0,0,
1468348628935195,0.013087,0.0110314,1.39317,0,0,0,0,0,0,0,0,0,
1468348628945232,0.0131184,0.0110008,1.39351,0,0,0,0,0,0,0,0,0,
