time, axm_ori, aym_ori, azm_ori, axl_ori, ayl_ori, azl_ori, axm, aym, azm, axl, ayl, azl, acc1x, acc1y, acc1z, acc2x, acc2y, acc2z, acc3x, acc3y, acc3z
1468176032332960,-0.0180664,0.0244141,0.924805,0.002196,0.05124,0.965508,-0.00436641,0.0117141,0.987805,-0.002404,0.02614,0.969808,0,0,0,0,0,0,0,0,0,
1468176032339023,-0.0180664,0.019043,0.937012,0.002928,0.04392,0.969168,-0.00436641,0.00634297,1.00001,-0.001672,0.01882,0.973468,0,0,0,0,0,0,0,0,0,
1468176032345188,-0.00439453,0.0219727,0.933105,0.002928,0.04392,0.970632,0.00930547,0.00927266,0.996105,-0.001672,0.01882,0.974932,0,0,0,0,0,0,0,0,0,
1468176032351249,-0.0151367,0.0151367,0.926758,-0.008784,0.042456,0.95892,-0.00143672,0.00243672,0.989758,-0.013384,0.017356,0.96322,0,0,0,0,0,0,0,0,0,
1468176032357310,-0.0185547,0.0151367,0.91748,0.002196,0.05124,0.964044,-0.00485469,0.00243672,0.98048,-0.002404,0.02614,0.968344,0,0,0,0,0,0,0,0,0,
1468176032363371,-0.012207,0.0234375,0.932617,0.002196,0.038064,0.972096,0.00149297,0.0107375,0.995617,-0.002404,0.012964,0.976396,0,0,0,0,0,0,0,0,0,
1468176032369432,-0.0141602,0.0244141,0.920898,0.00366,0.051972,0.971364,-0.000460156,0.0117141,0.983898,-0.00094,0.026872,0.975664,0,0,0,0,0,0,0,0,0,
1468176032375493,-0.0151367,0.03125,0.930176,-0,0.046848,0.966972,-0.00143672,0.01855,0.993176,-0.0046,0.021748,0.971272,0,0,0,0,0,0,0,0,0,
1468176032381552,-0.00732422,0.0234375,0.923828,-0.006588,0.054168,0.972096,0.00637578,0.0107375,0.986828,-0.011188,0.029068,0.976396,0,0,0,0,0,0,0,0,0,
1468176032387613,-0.00683594,0.0268555,0.918945,0.002928,0.049776,0.959652,0.00686406,0.0141555,0.981945,-0.001672,0.024676,0.963952,0,0,0,0,0,0,0,0,0,
1468176032393678,-0.0117188,0.0214844,0.931641,0.002928,0.046848,0.969168,0.00198125,0.00878438,0.994641,-0.001672,0.021748,0.973468,0,0,0,0,0,0,0,0,0,
1468176032399738,-0.00390625,0.0258789,0.93457,0.000732,0.039528,0.972096,0.00979375,0.0131789,0.99757,-0.003868,0.014428,0.976396,0,0,0,0,0,0,0,0,0,
1468176032405801,-0.00927734,0.015625,0.924805,-0.001464,0.049044,0.975024,0.00442266,0.002925,0.987805,-0.006064,0.023944,0.979324,0,0,0,0,0,0,0,0,0,
1468176032411863,-0.0180664,0.019043,0.92627,-0.002928,0.040992,0.967704,-0.00436641,0.00634297,0.98927,-0.007528,0.015892,0.972004,0,0,0,0,0,0,0,0,0,
1468176032417928,-0.0180664,0.0239258,0.924805,-0.000732,0.043188,0.969168,-0.00436641,0.0112258,0.987805,-0.005332,0.018088,0.973468,0,0,0,0,0,0,0,0,0,
1468176032423989,-0.0078125,0.0214844,0.924805,0.002196,0.045384,0.972096,0.0058875,0.00878438,0.987805,-0.002404,0.020284,0.976396,0,0,0,0,0,0,0,0,0,
1468176032430048,-0.0146484,0.0249023,0.925293,0.000732,0.042456,0.977952,-0.000948437,0.0122023,0.988293,-0.003868,0.017356,0.982252,0,0,0,0,0,0,0,0,0,
1468176032436108,-0.0146484,0.0229492,0.919434,0.000732,0.038064,0.959652,-0.000948437,0.0102492,0.982434,-0.003868,0.012964,0.963952,0,0,0,0,0,0,0,0,0,
1468176032442167,-0.00439453,0.0234375,0.930176,0.002196,0.046116,0.97356,0.00930547,0.0107375,0.993176,-0.002404,0.021016,0.97786,0,0,0,0,0,0,0,0,0,
1468176032448228,-0.0170898,0.0292969,0.921875,0.000732,0.042456,0.967704,-0.00338984,0.0165969,0.984875,-0.003868,0.017356,0.972004,0,0,0,0,0,0,0,0,0,
1468176032454286,-0.00830078,0.0234375,0.919922,0.002928,0.048312,0.972828,0.00539922,0.0107375,0.982922,-0.001672,0.023212,0.977128,0,0,0,0,0,0,0,0,0,
1468176032460346,-0.0136719,0.0180664,0.927734,0.00366,0.042456,0.956724,2.81241e-05,0.00536641,0.990734,-0.00094,0.017356,0.961024,0,0,0,0,0,0,0,0,0,
1468176032466408,-0.0107422,0.0170898,0.925293,-0.00366,0.052704,0.970632,0.00295781,0.00438984,0.988293,-0.00826,0.027604,0.974932,0,0,0,0,0,0,0,0,0,
1468176032472478,-0.00292969,0.0151367,0.91748,-0.002928,0.044652,0.967704,0.0107703,0.00243672,0.98048,-0.007528,0.019552,0.972004,0,0,0,0,0,0,0,0,0,
1468176032478547,-0.00341797,0.0229492,0.925781,-0.005124,0.044652,0.968436,0.010282,0.0102492,0.988781,-0.009724,0.019552,0.972736,0,0,0,0,0,0,0,0,0,
1468176032484601,-0.0175781,0.0209961,0.922852,-0,0.04758,0.975024,-0.00387812,0.00829609,0.985852,-0.0046,0.02248,0.979324,0,0,0,0,0,0,0,0,0,
1468176032490663,-0.0141602,0.0263672,0.936523,0.002928,0.051972,0.966972,-0.000460156,0.0136672,0.999523,-0.001672,0.026872,0.971272,0,0,0,0,0,0,0,0,0,
1468176032496721,-0.0117188,0.015625,0.924316,-0.000732,0.044652,0.968436,0.00198125,0.002925,0.987316,-0.005332,0.019552,0.972736,0,0,0,0,0,0,0,0,0,
1468176032502784,-0.0112305,0.0170898,0.94043,-0.005124,0.053436,0.977952,0.00246953,0.00438984,1.00343,-0.009724,0.028336,0.982252,0,0,0,0,0,0,0,0,0,
1468176032508846,-0.0126953,0.0249023,0.917969,0.001464,0.037332,0.97356,0.00100469,0.0122023,0.980969,-0.003136,0.012232,0.97786,0,0,0,0,0,0,0,0,0,
1468176032514906,-0.0161133,0.0258789,0.922852,0.001464,0.041724,0.967704,-0.00241328,0.0131789,0.985852,-0.003136,0.016624,0.972004,0,0,0,0,0,0,0,0,0,
