time, attx, atty, attz, accx, accy, accz, acc_raw1x, acc_raw1y, acc_raw1z, acc_raw2x, acc_raw2y, acc_raw2z, velx, vely, velz, vel_raw1x, vel_raw1y, vel_raw1z, vel_raw2x, vel_raw2y, vel_raw2z, locx, locy, locz, loc_raw1x, loc_raw1y, loc_raw1z, loc_raw2x, loc_raw2y, loc_raw2z,
1468353515247246,0.0121694,0.0261195,1.47633,0,0,0,0.165494,-0.116977,-0.100706,0.046828,-0.274911,-0.12799,0,0,0,4.98764,-3.87676,-1.53937,1.56388,-7.63937,-1.68938,0,0,0,0.428146,-0.321155,-0.0469832,0.110409,-0.672333,-0.138417,
1468353515257292,0.012192,0.0261486,1.47794,0,0,0,0.166003,-0.104296,-0.187239,0.0527615,-0.229559,-0.0430044,0,0,0,5.31913,-4.09803,-1.82731,1.66347,-8.14384,-1.86037,0,0,0,0.47968,-0.361029,-0.0638167,0.126546,-0.751249,-0.156166,
1468353515267328,0.0122424,0.0261744,1.47957,0,0,0,0.112131,-0.089982,-0.0335019,0.041182,-0.212767,-0.00732406,0,0,0,5.59727,-4.29231,-2.04806,1.75742,-8.58616,-1.9107,0,0,0,0.534262,-0.402981,-0.0831935,0.143651,-0.834899,-0.175022,
1468353515277363,0.0122649,0.0261909,1.48118,0,0,0,0.162445,-0.102747,-0.177616,0.0663121,-0.178937,-0.0157014,0,0,0,5.87185,-4.48504,-2.25917,1.86491,-8.97787,-1.93373,0,0,0,0.591607,-0.446868,-0.10473,0.161762,-0.922719,-0.194244,
1468353515287401,0.0122911,0.0261943,1.48264,0,0,0,0.110379,-0.105945,-0.119285,0.0672534,-0.17204,-0.030242,0,0,0,6.14467,-4.69373,-2.55607,1.99848,-9.32884,-1.97967,0,0,0,0.65169,-0.492762,-0.128806,0.181079,-1.01425,-0.213811,
1468353515297437,0.0123171,0.0262216,1.4842,0,0,0,0.15029,-0.139564,-0.186073,0.0720603,-0.281432,-0.0778215,0,0,0,6.40534,-4.93924,-2.86143,2.13779,-9.78232,-2.08773,0,0,0,0.71444,-0.540926,-0.155893,0.201761,-1.10981,-0.234148,
1468353515307473,0.0123363,0.0262444,1.48578,0,0,0,0.0772596,-0.0660965,-0.0239654,0.0425385,-0.213523,-0.0718944,0,0,0,6.63289,-5.1449,-3.07147,2.25239,-10.2773,-2.23745,0,0,0,0.779631,-0.591347,-0.185558,0.223711,-1.21011,-0.255774,
1468353515317511,0.0123685,0.0262765,1.48734,0,0,0,0.199015,-0.121641,0.0619067,0.0448224,-0.198147,-0.0435656,0,0,0,6.90916,-5.33263,-3.03353,2.33975,-10.6889,-2.35291,0,0,0,0.847341,-0.643735,-0.216083,0.246672,-1.31494,-0.278725,
1468353515327548,0.01239,0.0262887,1.48898,0,0,0,0.171181,-0.0440597,-0.016276,0.110659,-0.282172,-0.0280267,0,0,0,7.27936,-5.49833,-2.9879,2.49523,-11.1693,-2.4245,0,0,0,0.918284,-0.69789,-0.24619,0.270847,-1.42423,-0.302612,
1468353515337584,0.0124347,0.0263023,1.4905,0,0,0,0.139535,-0.0844503,-0.0195797,-0.0112869,-0.268002,-0.148684,0,0,0,7.59008,-5.62684,-3.02375,2.5946,-11.7194,-2.60121,0,0,0,0.992631,-0.753515,-0.276248,0.296296,-1.53867,-0.327741,
1468353515347619,0.0124838,0.0263258,1.49207,0,0,0,0.177197,-0.0849533,-0.125489,0.0677171,-0.206577,-0.0508183,0,0,0,7.90681,-5.79625,-3.16882,2.65103,-12.194,-2.80071,0,0,0,1.07012,-0.810631,-0.307211,0.322524,-1.65824,-0.354751,
1468353515357660,0.0125156,0.0263539,1.49376,0,0,0,0.14036,-0.0840372,-0.0387333,0.114648,-0.166613,-0.0524889,0,0,0,8.22437,-5.96524,-3.33305,2.8334,-12.5672,-2.90402,0,0,0,1.15077,-0.869438,-0.339721,0.349947,-1.78205,-0.383274,
1468353515367696,0.0125539,0.0263552,1.49511,0,0,0,0.14494,-0.0812739,-0.11072,0.0877007,-0.243731,-0.0573182,0,0,0,8.50967,-6.13055,-3.4825,3.03575,-12.9775,-3.01383,0,0,0,1.23444,-0.929917,-0.373798,0.379292,-1.90977,-0.412864,
